Feature Category,Strategic Segment,Demand Level,Quality Severity (0-100),Merchant Impact (0-100),Business Priority (0-100),Priority Level (1-5),Action Timeline,Current Avg Rating,Quality 95% CI Lower,Quality 95% CI Upper,Total Reviews (Market Size),Reviews Per App,# of Apps,Est. Merchants Affected,Predicted Churn %,Quality vs Median,Ecosystem Median Rating,% Apps with 4.5+ Stars,% Apps Below 3.0?,Statistically Significant?,What's the Problem?,What Should Shopify Do?,Data Confidence
SEO,"High Demand, Minor Gap",High,18,72,51,3,MEDIUM: Evaluate for H1 2026 roadmap,4.506,4.416,4.596,181659,522,348,17948,3.1,-0.139,4.65,75.6,6,TRUE,High merchant demand (182K reviews) with quality 0.14? below median. Monitor for demand growth. Consider quality improvements if adoption increases.,"OPPORTUNITY: With 75.6% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Discounts,Below Standard Performance,Very High,7,100,51,3,MEDIUM: Evaluate for H1 2026 roadmap,4.607,4.556,4.658,418144,496,843,32866,13,-0.038,4.65,80.3,4.7,FALSE,Very high merchant demand (418K total reviews) with quality 0.04? below median. 80.3% of apps already at 4.5?+. Opportunity for targeted quality improvements.,"OPPORTUNITY: With 80.3% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Forms,Below Standard Performance,Very High,5,100,50,3,MEDIUM: Evaluate for H1 2026 roadmap,4.628,4.563,4.693,312851,1036,302,23276,7.4,-0.017,4.65,82.5,2.6,FALSE,Very high merchant demand (313K total reviews) with quality 0.02? below median. 82.5% of apps already at 4.5?+. Opportunity for targeted quality improvements.,"OPPORTUNITY: With 82.5% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Analytics,Below Standard Performance,Very High,5,100,50,3,MEDIUM: Evaluate for H1 2026 roadmap,4.642,4.601,4.683,397053,357,1112,28429,11.3,-0.003,4.65,82,3.8,FALSE,Very high merchant demand (397K total reviews) with quality 0.00? below median. 82.0% of apps already at 4.5?+. Opportunity for targeted quality improvements.,"OPPORTUNITY: With 82.0% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Automations,Below Standard Performance,Very High,5,100,50,3,MEDIUM: Evaluate for H1 2026 roadmap,4.64,4.583,4.697,346400,751,461,24941,8.8,-0.005,4.65,80.5,3,FALSE,Very high merchant demand (346K total reviews) with quality 0.01? below median. 80.5% of apps already at 4.5?+. Opportunity for targeted quality improvements.,"OPPORTUNITY: With 80.5% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Product reviews,"High Demand, Minor Gap",High,15,65,45,3,MEDIUM: Evaluate for H1 2026 roadmap,4.54,4.44,4.64,180802,849,213,16634,2.5,-0.105,4.65,77,5.2,TRUE,High merchant demand (181K reviews) with quality 0.11? below median. Monitor for demand growth. Consider quality improvements if adoption increases.,"OPPORTUNITY: With 77.0% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Geolocation,"High Demand, Minor Gap",High,6,69,36,3,MEDIUM: Evaluate for H1 2026 roadmap,4.63,4.55,4.71,186588,616,303,13808,1,-0.015,4.65,82.8,4.3,FALSE,High merchant demand (187K reviews) with quality 0.02? below median. Monitor for demand growth. Consider quality improvements if adoption increases.,"OPPORTUNITY: With 82.8% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Banners,"High Demand, Minor Gap",High,6,52,27,3,MEDIUM: Evaluate for H1 2026 roadmap,4.639,4.551,4.727,132135,486,272,9540,0,-0.006,4.65,82.4,4.4,FALSE,High merchant demand (132K reviews) with quality 0.01? below median. Monitor for demand growth. Consider quality improvements if adoption increases.,"OPPORTUNITY: With 82.4% apps already at 4.5?+, consider: (1) Highlighting best-in-class apps as examples, (2) Contacting lower-performing developers with improvement suggestions, (3) Creating quality benchmarking resources.",1
Dropshipping,"Low Demand, Quality Gap",Low,62,58,60,4,LOW: Monitor in 2026,4.022,3.893,4.151,120253,383,314,23521,9.3,-0.623,4.65,54.1,18.2,TRUE,Low merchant demand (120K reviews vs median 127K) and quality (4.022? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Inventory sync,"Low Demand, Quality Gap",Low,34,51,44,4,LOW: Monitor in 2026,4.355,4.257,4.453,94376,226,418,12175,1.6,-0.29,4.65,68.9,11.7,TRUE,Low merchant demand (94K reviews vs median 127K) and quality (4.355? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
