stack_name,feature_a_name,feature_b_name,feature_c_name,stack_size,apps_with_both,combo_success_score,combo_avg_reviews,combo_pct_high_success,individual_avg_rating,success_score_lift,pct_success_lift,pct_high_performers_using_stack,synergy_strength,recommendation,confidence_score,apps_with_stack_details
Order sync + Order tracking + Shipping,Order sync,Order tracking,Shipping,3,23,4.77,1023,97.6,3.157,1.613,51.1,250,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.8,Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;MyGLS Professional|5|142|https://apps.shopify.com/mygls-plugin-lite;;MyGLS Professional|5|142|https://apps.shopify.com/mygls-plugin-lite;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Order Tracking Notifier by H3|5|5|https://apps.shopify.com/order-tracking-notifier;;Upela|5|1|https://apps.shopify.com/upela;;Upela|5|1|https://apps.shopify.com/upela;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;Official Swiss Post App|4.9|21|https://apps.shopify.com/official-swiss-post-app;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Everpro Shipping|0|0|https://apps.shopify.com/everpro
Delivery and pickup + Multi-language + Shipping,Delivery and pickup,Multi-language,Shipping,3,10,4.85,427,100,3.246,1.604,49.4,414,Strong Synergy,CAUTIOUSLY RECOMMEND: Good synergy but small sample,0.4,Bird Pickup Delivery Date|5|368|https://apps.shopify.com/store-pickup-and-delivery-date;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;ShipConvert & Translate|5|4|https://apps.shopify.com/delivery-app-3;;ETAs ‑ Estimated Delivery Date|4.9|297|https://apps.shopify.com/estimated-delivery-days;;Flare ‑ Delivery Date Picker|4.9|17|https://apps.shopify.com/flare;;Zapiet ‑ Pickup + Delivery|4.8|1610|https://apps.shopify.com/click-and-collect;;Stellar Delivery Date & Pickup|4.8|781|https://apps.shopify.com/order-delivery-date-by-identixweb;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Mondial Relay ‑ Officiel|4.5|110|https://apps.shopify.com/mondial-relay-1
Order sync + Order tracking + Delivery and pickup,Order sync,Order tracking,Delivery and pickup,3,10,4.64,192,94.4,3.124,1.516,48.5,195,Strong Synergy,CAUTIOUSLY RECOMMEND: Good synergy but small sample,0.4,Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Upela|5|1|https://apps.shopify.com/upela;;Upela|5|1|https://apps.shopify.com/upela;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Everpro Shipping|0|0|https://apps.shopify.com/everpro
Delivery and pickup + Multi-language + Shipping rates,Delivery and pickup,Multi-language,Shipping rates,3,17,4.79,281,94.1,3.355,1.435,42.8,404,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.6,Bird Pickup Delivery Date|5|368|https://apps.shopify.com/store-pickup-and-delivery-date;;Delm Estimated Delivery Dates|5|73|https://apps.shopify.com/delm;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Paczkomaty InPost|5|54|https://apps.shopify.com/paczkomaty-inpost;;Atlas Pickup Points|5|21|https://apps.shopify.com/atlas-pickup-points;;InPost Lockers e Punti Ritiro|5|5|https://apps.shopify.com/inpost-italy;;ETAs ‑ Estimated Delivery Date|4.9|297|https://apps.shopify.com/estimated-delivery-days;;Calcurates: Accurate Shipping|4.9|47|https://apps.shopify.com/calcurates;;Zapiet ‑ Pickup + Delivery|4.8|1610|https://apps.shopify.com/click-and-collect;;Stellar Delivery Date & Pickup|4.8|781|https://apps.shopify.com/order-delivery-date-by-identixweb;;Plex: Delivery Estimation Date|4.8|217|https://apps.shopify.com/order-delivery-estimation;;Zapiet ‑ Rates by Zip Code|4.7|67|https://apps.shopify.com/delivery-rates-by-zipcode;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;EDD and SHIPPING RATES Manager|4.6|31|https://apps.shopify.com/decimal;;Mondial Relay ‑ Officiel|4.5|110|https://apps.shopify.com/mondial-relay-1;;DH: Estimated Delivery Date|4.5|8|https://apps.shopify.com/dh-estimated-delivery-date;;Zapiet ‑ Rates by Distance|4.3|77|https://apps.shopify.com/delivery-rate-by-distance
Geolocation + Delivery and pickup + Shipping rates,Geolocation,Delivery and pickup,Shipping rates,3,14,4.64,86,78.6,3.256,1.384,42.5,243,Strong Synergy,CAUTIOUSLY RECOMMEND: Good synergy but small sample,0.4,Shipping & Delivery ‑ ShipZip|5|364|https://apps.shopify.com/shipping-based-on-zipcode;;Delm Estimated Delivery Dates|5|73|https://apps.shopify.com/delm;;Paczkomaty InPost|5|54|https://apps.shopify.com/paczkomaty-inpost;;Atlas Pickup Points|5|21|https://apps.shopify.com/atlas-pickup-points;;InPost Lockers e Punti Ritiro|5|5|https://apps.shopify.com/inpost-italy;;S: Estimated Delivery Date ETA|4.9|319|https://apps.shopify.com/omega-estimated-shipping-date;;AJ Delivery Date & Shipping|4.9|130|https://apps.shopify.com/appjetty-delivery-date-manager;;Shipping Rates by Postcode|4.7|167|https://apps.shopify.com/postcode-shipping-extension;;EDD and SHIPPING RATES Manager|4.6|31|https://apps.shopify.com/decimal;;Octolize Product Page Shipping|4.5|10|https://apps.shopify.com/shipping-rates-on-product-page;;DH: Estimated Delivery Date|4.5|8|https://apps.shopify.com/dh-estimated-delivery-date;;ETP Sort Hide Shipping Rates|4.4|9|https://apps.shopify.com/etp-hide-sort-shipping;;Octolize Distance Based Rates|3.9|3|https://apps.shopify.com/octolize-distance-based-rates;;Calcurates: Estimated Shipping|3.6|3|https://apps.shopify.com/calcurates-product-page-shipping
Order sync + Order tracking + Real-time tracking,Order sync,Order tracking,Real-time tracking,3,21,4.78,1454,98.2,3.425,1.355,39.6,219,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.8,Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Biteship: Multi‑courier App|5|12|https://apps.shopify.com/biteship;;Order Tracking Notifier by H3|5|5|https://apps.shopify.com/order-tracking-notifier;;Order Tracking Notifier by H3|5|5|https://apps.shopify.com/order-tracking-notifier;;Upela|5|1|https://apps.shopify.com/upela;;Upela|5|1|https://apps.shopify.com/upela;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Everpro Shipping|0|0|https://apps.shopify.com/everpro
Order sync + Order tracking + Email notifications,Order sync,Order tracking,Email notifications,3,18,4.86,1063,100,3.53,1.33,37.7,243,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.6,Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Order Tracking Notifier by H3|5|5|https://apps.shopify.com/order-tracking-notifier;;Upela|5|1|https://apps.shopify.com/upela;;Upela|5|1|https://apps.shopify.com/upela;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker
Analytics + Multi-language + Shipping,Analytics,Multi-language,Shipping,3,14,4.84,1251,94.4,3.535,1.305,36.9,690,Strong Synergy,CAUTIOUSLY RECOMMEND: Good synergy but small sample,0.4,"Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Return Prime: Return → Revenue|5|747|https://apps.shopify.com/return-prime;;Return Prime: Return → Revenue|5|747|https://apps.shopify.com/return-prime;;PostCo Returns & Exchanges|5|89|https://apps.shopify.com/postco360;;Corso|5|8|https://apps.shopify.com/corso-crew;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;Parcel Panel Returns &Exchange|4.9|570|https://apps.shopify.com/parcel-panel-returns-exchanges;;Parcel Panel Returns &Exchange|4.9|570|https://apps.shopify.com/parcel-panel-returns-exchanges;;Synctrack: Returns & Exchanges|4.9|134|https://apps.shopify.com/omega-returns-drive;;Synctrack: Returns & Exchanges|4.9|134|https://apps.shopify.com/omega-returns-drive;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Exchanges & Returns by Outvio|4.8|32|https://apps.shopify.com/outvio;;Exchanges & Returns by Outvio|4.8|32|https://apps.shopify.com/outvio;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Trackr Order Tracking, Tracker|4.1|189|https://apps.shopify.com/trackr"
Color and font + Analytics + Chat,Color and font,Analytics,Chat,3,15,4.67,186,80,3.367,1.303,38.7,467,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.6,"Chatway Live Chat Support, FAQ|5|321|https://apps.shopify.com/chatway;;BetterDocs FAQ Knowledge Base|5|20|https://apps.shopify.com/betterdocs-knowledgebase;;Mega Callback|5|19|https://apps.shopify.com/callback-request;;Oct8ne ‑ Live chat & Chatbot|5|3|https://apps.shopify.com/oct8ne;;Aide AI Support Automation|5|2|https://apps.shopify.com/aide;;Taggo: Inbox & AI Chatbot|5|2|https://apps.shopify.com/taggoai-chatbot;;NS AI Chatbot, Helpdesk & FAQs|4.9|95|https://apps.shopify.com/nestdesk-live-chat;;Desku ‑ AI Customer Service|4.9|9|https://apps.shopify.com/desku-live-chat-helpdesk;;Tidio Live Chat & AI Chatbots|4.7|1926|https://apps.shopify.com/tidio-chat;;eDesk|4.7|41|https://apps.shopify.com/helpdesk-app;;Channel Sales Chat Bot CRM|4.5|58|https://apps.shopify.com/channel-talk;;Chative ‑ Live chat & Chatbot|4.5|6|https://apps.shopify.com/chative-live-chat-chatbot;;Reamaze Live Chat Helpdesk CRM|4.4|259|https://apps.shopify.com/reamaze;;Live Chat by Social Intents|4|4|https://apps.shopify.com/live-chat-slack;;Crisp ‑ Live Chat & AI Chatbot|3.5|28|https://apps.shopify.com/app10199"
Order sync + Order tracking + Order updates,Order sync,Order tracking,Order updates,3,21,4.74,1123,97.4,3.438,1.302,37.9,218,Strong Synergy,STRONGLY RECOMMEND: High synergy with solid sample size,0.8,Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Parcel Panel Order Tracking|5|4625|https://apps.shopify.com/parcelpanel;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery + Pickup ‑ SE|5|106|https://apps.shopify.com/local-delivery-store-pickup;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Local Delivery ‑ LionWheel|5|74|https://apps.shopify.com/local-delivery-lionwheel;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Digiloop Pickup & Delivery|5|59|https://apps.shopify.com/digiloop-pickup-delivery;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Swiss Post Label Printer|5|33|https://apps.shopify.com/swiss-post-label-printer-1;;Order Tracking Notifier by H3|5|5|https://apps.shopify.com/order-tracking-notifier;;Upela|5|1|https://apps.shopify.com/upela;;Upela|5|1|https://apps.shopify.com/upela;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;Track123 Order Tracking 3D|4.9|4066|https://apps.shopify.com/track123;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;17TRACK Order Tracking|4.9|4008|https://apps.shopify.com/17track;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;TrackingMore Order Tracking|4.9|932|https://apps.shopify.com/trackingmore;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Colissimo Official|4.9|221|https://apps.shopify.com/colissimo-officiel;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;Synctrack Order Tracking|4.9|208|https://apps.shopify.com/omega-order-tracking;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;EasyRoutes Local Delivery|4.9|136|https://apps.shopify.com/easyroutes;;Official Swiss Post App|4.9|21|https://apps.shopify.com/official-swiss-post-app;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Tracktor Order Tracking|4.8|743|https://apps.shopify.com/tracktor-2;;Amai Local Pickup & Delivery|4.8|331|https://apps.shopify.com/store-pickup-3;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;AfterShip Order Tracking|4.7|4776|https://apps.shopify.com/aftership;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Postship Order Tracking Upsell|4.7|102|https://apps.shopify.com/postship-2;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Packlink PRO Shipping Platform|4.6|951|https://apps.shopify.com/packlink-pro;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Hulk Order Status Tracker|4.6|115|https://apps.shopify.com/order-status-tracker;;Everpro Shipping|0|0|https://apps.shopify.com/everpro
